City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Smolenka,62,PL,1563577430,85,54.15,22.76,56.5,3.13
Brigantine,1,US,1563577431,55,39.41,-74.36,93.2,8.05
Mount Isa,0,AU,1563577271,40,-20.73,139.49,51.8,1.12
Castro,20,CL,1563577433,81,-42.48,-73.76,42.8,11.41
Vardo,1,US,1563577306,56,39.62,-77.74,95.0,8.05
San Cristobal,46,HN,1563577227,74,14.68,-86.92,72.7,9.04
Necochea,97,AR,1563577247,86,-38.55,-58.74,50.0,7.0
Busselton,17,AU,1563577438,98,-33.64,115.35,43.0,26.13
Warren,1,US,1563577412,74,42.48,-83.03,84.0,9.17
Chokurdakh,100,RU,1563577441,70,70.62,147.9,41.74,9.13
Yellowknife,75,CA,1563577311,42,62.45,-114.38,68.0,9.17
Ust-Kulom,84,RU,1563577444,97,61.69,53.69,50.92,4.05
Mar del Plata,0,AR,1563577445,52,-46.43,-67.52,38.32,24.83
Haapiti,20,PF,1563577447,57,-17.57,-149.87,80.6,8.05
Dingle,83,PH,1563577448,72,11.0,122.67,80.44,1.39
Norman Wells,40,CA,1563577450,44,65.28,-126.83,78.8,3.36
Bluff,0,AU,1563577246,53,-23.58,149.07,63.15,13.06
Talnakh,0,RU,1563577237,55,69.49,88.39,62.6,8.95
Chuy,20,UY,1563577173,89,-33.69,-53.46,56.14,7.54
Ust-Ishim,30,RU,1563577454,80,57.69,71.17,62.97,2.33
Maldonado,0,UY,1563577455,93,-34.91,-54.96,55.4,2.24
Bethel,90,US,1563577400,93,60.79,-161.76,57.2,6.93
Qaanaaq,100,GL,1563577261,95,77.48,-69.36,39.04,6.64
Ponta do Sol,5,BR,1563577459,65,-20.63,-46.0,55.24,4.94
Nikolskoye,90,RU,1563577460,93,59.7,30.79,61.0,8.95
Itupiranga,0,BR,1563577461,69,-5.13,-49.33,80.6,1.12
Qaqortoq,27,GL,1563577462,59,60.72,-46.03,60.8,8.05
Oga,0,IT,1563577463,100,46.46,10.35,57.2,4.7
Souillac,0,FR,1563577206,68,45.6,-0.6,71.01,3.36
Hobart,75,AU,1563577229,81,-42.88,147.33,44.01,8.05
Ilulissat,75,GL,1563577467,66,69.22,-51.1,53.6,10.29
Baudh,56,IN,1563577468,90,20.84,84.32,78.27,5.5
Saskylakh,96,RU,1563577469,40,71.97,114.09,64.6,14.9
Ferrol,75,ES,1563577470,93,43.48,-8.23,66.99,3.36
Tbilisskaya,0,RU,1563577471,76,45.36,40.19,63.7,3.24
Provideniya,87,RU,1563577472,70,64.42,-173.23,57.94,10.18
Copacabana,25,BO,1563577474,74,-16.17,-69.08,45.7,12.15
Narsaq,27,GL,1563577475,59,60.91,-46.05,60.8,8.05
Te Anau,100,NZ,1563577476,90,-45.41,167.72,43.17,3.62
Trento,90,IT,1563577478,100,46.07,11.13,73.99,10.29
Gao,64,ML,1563577479,32,16.28,-0.04,86.37,22.28
Sao Joao da Barra,0,BR,1563577206,82,-21.64,-41.05,64.4,2.15
Avarua,13,CK,1563577481,88,-21.21,-159.78,75.2,6.93
Lishui,0,CN,1563577483,78,28.45,119.91,81.87,1.3
Kavieng,4,PG,1563577484,76,-2.57,150.8,83.85,13.47
Esperance,75,AU,1563577266,93,-33.86,121.89,46.4,19.46
Severo-Kurilsk,100,RU,1563577486,98,50.68,156.12,47.14,2.77
Carnarvon,61,ZA,1563577487,84,-30.97,22.13,37.42,11.61
Kribi,100,CM,1563577488,83,2.94,9.91,77.74,11.9
Haines Junction,77,CA,1563577245,53,60.75,-137.51,65.67,11.05
North Bend,1,US,1563577366,63,43.41,-124.22,70.0,25.28
Dwarka,40,IN,1563577493,74,28.58,77.04,88.0,3.36
Okhotsk,46,RU,1563577494,47,59.36,143.24,65.32,12.71
İdil,0,TR,1563577496,28,37.34,41.89,73.24,7.11
Salina,1,US,1563577216,31,38.84,-97.61,102.2,20.8
Upernavik,100,GL,1563577499,92,72.79,-56.15,44.07,12.75
Kaitangata,100,NZ,1563577501,89,-46.28,169.85,48.99,7.0
Ojinaga,75,US,1563577502,21,29.56,-104.41,102.2,10.29
Waddan,0,LY,1563577503,60,29.16,16.14,73.42,10.56
Saint-Augustin,75,CA,1563577285,70,45.63,-73.98,88.0,11.41
Alihe,100,CN,1563577505,99,50.57,123.73,65.67,4.07
Klaksvik,73,FO,1563577506,100,62.23,-6.59,50.0,11.41
Otjiwarongo,0,NA,1563577507,19,-20.46,16.65,54.52,9.33
Tiarei,20,PF,1563577509,57,-17.53,-149.33,80.6,8.05
Seoul,100,KR,1563577463,69,37.57,126.98,84.2,5.82
Amla,99,IN,1563577512,78,21.92,78.13,77.37,2.35
Sur,1,OM,1563577513,83,22.57,59.53,75.75,2.46
Zaltan,0,LY,1563577514,72,32.95,11.87,74.32,7.9
Bredasdorp,52,ZA,1563577515,81,-34.53,20.04,48.2,8.05
Kirakira,9,SB,1563577517,72,-10.46,161.92,83.14,9.82
Labuhan,1,ID,1563577518,77,-2.54,115.51,78.1,0.25
Vanavara,100,RU,1563577519,50,60.35,102.28,57.75,14.72
Namtsy,0,RU,1563577520,53,62.72,129.66,51.8,4.47
Isangel,90,VU,1563577334,73,-19.55,169.27,73.4,5.82
Dolores,95,UY,1563577264,77,-33.53,-58.22,62.01,1.99
Pevek,100,RU,1563577523,98,69.7,170.27,31.84,7.78
Lesnoy,100,RU,1563577524,97,59.78,52.13,57.4,5.08
Maniitsoq,100,GL,1563577526,89,65.42,-52.9,43.72,3.94
Lagoa,0,PT,1563577527,54,37.14,-8.45,78.8,8.05
Puerto Maldonado,0,PE,1563577528,334,-12.59,-69.19,33.8,2.24
Geraldton,90,CA,1563577529,47,49.72,-86.95,80.6,11.41
Cidreira,17,BR,1563577530,82,-30.17,-50.22,60.82,4.79
Arraial do Cabo,75,BR,1563577531,77,-22.97,-42.02,66.2,6.93
Thompson,75,CA,1563577533,67,55.74,-97.86,60.8,18.34
Dikson,16,RU,1563577534,79,73.51,80.55,40.65,19.98
Uitenhage,75,ZA,1563577535,87,-33.77,25.4,50.0,24.16
Oranjemund,0,ZA,1563577536,83,-28.55,16.43,55.24,24.16
Cabedelo,75,BR,1563577291,100,-6.97,-34.84,73.4,8.05
Zabol,0,IR,1563577538,7,31.03,61.49,94.65,22.68
Anito,90,PH,1563577539,67,12.45,125.29,84.4,3.62
Anadyr,75,RU,1563577308,77,64.73,177.51,62.6,11.18
Warrington,40,GB,1563577542,88,53.39,-2.59,64.4,12.75
Longyearbyen,75,NO,1563577295,81,78.22,15.63,44.6,4.7
Bestobe,0,KZ,1563577544,65,52.5,73.1,64.05,7.23
Tiksi,89,RU,1563577545,42,71.64,128.87,53.07,10.71
Hami,30,CN,1563577546,18,42.84,93.51,83.32,7.7
Torbay,20,CA,1563577434,76,47.66,-52.73,57.0,9.17
Dong Hoi,83,VN,1563577548,73,17.48,106.6,83.5,7.05
Coquimbo,0,CL,1563577354,76,-29.95,-71.34,57.2,4.7
Kananga,0,CD,1563577551,31,-5.9,22.41,65.14,2.57
Namibe,58,AO,1563577552,86,-15.19,12.15,68.74,4.09
Agirish,0,RU,1563577553,86,61.92,63.02,57.22,2.26
Vallenar,0,CL,1563577554,58,-28.58,-70.76,57.94,0.81
Taltal,0,CL,1563577555,72,-25.41,-70.49,55.42,1.99
New Norfolk,75,AU,1563577556,81,-42.78,147.06,44.01,8.05
Alofi,75,NU,1563577557,83,-19.06,-169.92,78.8,10.29
Saint-Joseph,0,FR,1563577559,78,43.56,6.97,75.2,3.36
Grand Gaube,75,MU,1563577302,78,-20.01,57.66,71.6,12.75
Cabo San Lucas,20,MX,1563577347,34,22.89,-109.91,93.2,13.87
Ostrovnoy,45,RU,1563577499,96,68.05,39.51,40.12,7.47
Sorong,82,ID,1563577565,84,-0.86,131.25,78.64,6.96
Dudinka,0,RU,1563577566,55,69.41,86.18,62.6,8.95
Morozovsk,0,RU,1563577567,56,48.35,41.83,64.05,2.55
Solnechnyy,98,RU,1563577569,79,50.72,136.64,74.5,3.09
Polis,20,CY,1563577570,83,35.04,32.42,73.4,4.7
Porto San Giorgio,0,IT,1563577572,78,43.18,13.79,73.99,3.36
Edgewood,1,US,1563577469,59,39.42,-76.29,96.01,5.82
Xihe,90,CN,1563577574,63,34.02,105.29,63.7,3.87
Caravelas,39,BR,1563577283,72,-17.73,-39.27,70.9,13.73
Pitimbu,75,BR,1563577577,100,-7.47,-34.81,73.4,8.05
Lahij,84,YE,1563577579,38,13.06,44.88,92.85,2.04
Aklavik,75,CA,1563577580,72,68.22,-135.01,64.4,5.82
Kharan,68,PK,1563577581,53,28.58,65.42,80.44,2.21
Chulman,14,RU,1563577582,50,56.84,124.9,56.85,6.42
Cape Town,40,ZA,1563577475,76,-33.93,18.42,51.01,5.82
Ribeira Grande,0,PT,1563577585,90,38.52,-28.7,72.87,13.0
Chapais,20,CA,1563577586,54,49.78,-74.86,78.8,14.99
Porto Walter,52,BR,1563577587,71,-8.27,-72.74,76.3,1.34
Salym,42,RU,1563577588,78,60.06,71.48,63.15,0.78
Victor Harbor,0,AU,1563577404,46,-35.55,138.62,61.0,20.8
Bandarbeyla,42,SO,1563577591,62,9.49,50.81,76.84,28.27
Kaohsiung,90,TW,1563577309,100,22.62,120.31,77.0,3.36
Georgetown,40,GY,1563577596,88,6.8,-58.16,80.6,9.17
Thunder Bay,90,CA,1563577597,78,48.41,-89.26,78.01,6.93
Belmonte,0,PT,1563577540,78,40.36,-7.35,57.0,1.01
Ahipara,29,NZ,1563577599,100,-35.17,173.16,60.01,19.01
LUGOBA,11,TZ,1563577600,94,-6.46,38.33,63.87,0.36
Ponta Delgada,75,PT,1563577602,94,37.73,-25.67,71.6,8.05
Airai,0,TL,1563577603,53,-8.93,125.41,76.84,1.54
Kodino,17,RU,1563577604,82,63.72,39.64,48.57,6.44
Pacific Grove,1,US,1563577605,56,36.62,-121.92,75.0,18.34
Vagur,63,FO,1563577607,96,61.47,-6.81,50.2,14.43
Zdvinsk,0,RU,1563577608,95,54.7,78.67,59.37,7.96
Wadi Musa,0,JO,1563577609,82,30.32,35.48,65.14,3.27
Egvekinot,100,RU,1563577610,94,66.32,-179.17,49.65,10.87
Carberry,20,CA,1563577612,43,49.87,-99.36,73.4,20.8
Petropavlovsk-Kamchatskiy,40,RU,1563577455,82,53.05,158.65,66.2,6.71
Iqaluit,75,CA,1563577614,76,63.75,-68.52,51.8,8.05
Bayir,0,TR,1563577615,73,37.27,28.22,69.8,3.36
East London,30,ZA,1563577495,58,-33.02,27.91,48.4,24.7
Carutapera,38,BR,1563577617,93,-1.2,-46.02,74.5,4.38
Alta Floresta,0,BR,1563577618,45,-9.87,-56.08,84.2,2.28
Bay City,75,US,1563577619,70,43.59,-83.89,91.4,11.41
Sayansk,97,RU,1563577621,95,54.11,102.18,61.0,1.5
Ouadda,100,CF,1563577622,96,8.07,22.4,66.04,3.91
Flin Flon,40,CA,1563577625,77,54.77,-101.88,68.0,6.93
Sola,68,TZ,1563577626,54,-3.17,33.8,67.84,4.12
Sitka,0,US,1563577627,35,37.17,-99.65,100.0,21.0
Srikakulam,82,IN,1563577385,84,18.29,83.89,78.82,2.08
Tacuati,27,PY,1563577630,94,-23.46,-56.74,62.25,7.43
Youghal,75,IE,1563577632,82,51.95,-7.85,60.01,14.99
Tiruchchendur,100,IN,1563577633,71,8.48,78.12,79.54,6.11
Vaitape,63,PF,1563577634,79,-16.52,-151.75,76.3,18.68
Havoysund,0,NO,1563577471,63,71.0,24.66,62.6,13.87
Shalinskoye,94,RU,1563577473,97,55.72,93.76,53.62,5.66
Ternate,75,PH,1563577638,88,14.29,120.72,81.0,4.7
San Patricio,32,PY,1563577639,95,-26.98,-56.83,62.25,5.75
Samma,4,DZ,1563577640,38,36.01,4.11,80.07,5.64
Nicoya,75,CR,1563577641,66,10.15,-85.45,86.0,11.41
Tambilil,92,PH,1563577642,76,5.96,124.67,80.97,3.62
Sokoni,0,CD,1563577644,68,-12.89,28.78,51.45,3.8
Ambon,75,FR,1563577646,93,47.55,-2.56,66.99,5.82
Coahuayana,31,MX,1563577647,76,18.62,-100.35,83.5,1.83
Moron,100,HT,1563577648,75,18.56,-74.26,82.05,5.75
Losevo,0,RU,1563577649,82,51.73,38.83,57.2,2.24
Cockburn Town,75,TC,1563577650,70,21.46,-71.14,86.0,13.87
Banda Aceh,100,ID,1563577652,82,5.56,95.32,80.97,22.57
Churapcha,5,RU,1563577654,49,62.0,132.43,57.22,3.18
Waingapu,3,ID,1563577587,64,-9.65,120.26,74.5,4.56
Maningrida,3,AU,1563577657,56,-12.05,134.23,71.8,8.03
Gisborne,100,NZ,1563577658,87,-38.66,178.02,57.99,8.19
Chimbarongo,0,CL,1563577659,66,-34.71,-71.04,51.8,8.05
Flinders,0,AU,1563577661,70,-34.58,150.85,55.99,10.29
Sao Filipe,41,CV,1563577663,84,14.9,-24.5,74.85,16.51
Los Llanos de Aridane,75,ES,1563577664,64,28.66,-17.92,73.4,14.99
Kodinsk,100,RU,1563577665,92,58.6,99.18,51.64,10.04
General Pico,23,AR,1563577666,55,-35.66,-63.75,49.47,4.23
Mao,40,DO,1563577564,94,19.55,-71.08,86.0,12.75
Codrington,40,AU,1563577671,81,-28.95,153.24,55.99,8.05
Batagay,28,RU,1563577672,56,67.65,134.64,49.3,9.57
Guerrero Negro,0,MX,1563577673,85,27.97,-114.04,64.95,19.3
Paamiut,100,GL,1563577674,91,61.99,-49.67,43.9,11.9
Policoro,5,IT,1563577677,88,40.21,16.68,75.0,1.12
Kruisfontein,87,ZA,1563577678,71,-34.0,24.73,48.57,25.68
Puerto Narino,75,CO,1563577679,100,-3.77,-70.38,73.4,4.7
Mandalgovi,5,MN,1563577680,55,45.76,106.27,68.55,5.86
LOS ALGARROBOS,75,EC,1563577681,83,-3.25,-79.94,89.6,2.21
Mount Gambier,31,AU,1563577683,66,-37.83,140.78,48.2,14.99
Namatanai,61,PG,1563577684,81,-3.66,152.44,80.62,14.81
Touros,75,BR,1563577686,100,-5.2,-35.46,73.4,4.7
Fairbanks,90,US,1563577502,45,64.84,-147.72,68.0,9.17
Merauke,93,ID,1563577688,77,-8.49,140.4,76.65,18.81
Port Blair,95,IN,1563577689,77,11.67,92.75,81.87,11.39
Ryazanskaya,0,RU,1563577690,68,44.96,39.59,69.8,6.71
Orotukan,100,RU,1563577692,91,62.26,151.67,43.35,3.96
Bereda,75,ES,1563577693,93,43.27,-7.54,64.99,3.36
Campbell River,40,CA,1563577694,52,50.02,-125.24,69.01,2.24
Hailar,100,CN,1563577695,92,49.2,119.7,66.94,14.05
Severo-Yeniseyskiy,0,RU,1563577696,59,60.37,93.04,55.24,9.75
Buraydah,0,SA,1563577697,29,26.33,43.97,89.6,8.05
Cayenne,0,GF,1563577699,94,4.94,-52.33,75.2,3.24
Saint George,20,GR,1563577700,77,39.45,22.34,75.0,2.21
Mana,95,NG,1563577701,64,13.03,5.27,82.77,14.12
Boa Vista,40,BR,1563577703,78,2.82,-60.67,80.6,5.82
Cururupu,64,BR,1563577704,88,-1.82,-44.87,71.25,1.97
Port Hardy,75,CA,1563577705,77,50.7,-127.42,59.0,3.36
Salinopolis,46,BR,1563577707,76,-0.61,-47.36,82.05,18.59
Fort Nelson,75,CA,1563577708,46,58.81,-122.69,73.4,3.36
Kuvandyk,3,RU,1563577709,68,51.48,57.35,69.64,12.39
Cortez,1,US,1563577444,15,37.35,-108.58,93.2,16.11
Dakoro,97,NE,1563577711,47,14.51,6.76,88.0,10.8
Am Timan,74,TD,1563577714,85,11.04,20.28,73.42,5.66
Haguenau,0,FR,1563577716,82,48.82,7.79,68.0,1.12
Portland,1,US,1563577481,73,43.66,-70.25,88.0,6.93
Saldanha,0,PT,1563577718,62,41.42,-6.55,68.02,4.94
Zelenoborskiy,67,RU,1563577719,94,66.84,32.36,48.22,3.02
Serebryansk,16,KZ,1563577720,79,49.68,83.3,59.2,1.43
Nanlong,85,CN,1563577721,80,31.35,106.05,76.12,4.07
Thinadhoo,65,MV,1563577722,77,0.53,72.93,82.95,15.5
Deep River,20,CA,1563577724,41,46.1,-77.49,91.4,10.29
Jieshi,55,CN,1563577725,84,22.82,115.83,84.0,2.35
Bida,98,NG,1563577726,94,9.08,6.02,71.97,2.17
Pasni,14,PK,1563577728,84,25.26,63.48,78.27,2.57
Fare,26,PF,1563577509,79,-16.7,-151.02,75.04,20.8
Zambezi,0,ZM,1563577730,45,-13.55,23.12,53.97,4.99
Makakilo City,90,US,1563577732,65,21.35,-158.09,89.01,10.29
Bhuj,16,IN,1563577735,75,23.25,69.67,82.6,8.16
Longonjo,13,AO,1563577737,24,-12.91,15.25,53.25,3.31
Adrar,74,DZ,1563577738,15,27.87,-0.29,104.0,10.29
Liuhe,28,CN,1563577739,70,42.28,125.73,78.1,2.89
Price,1,US,1563577741,9,39.6,-110.81,93.0,4.7
Romilly-sur-Seine,0,FR,1563577742,72,48.52,3.72,64.4,4.7
Lompoc,1,US,1563577743,64,34.64,-120.46,73.4,14.99
Tutin,36,RS,1563577744,90,42.99,20.34,50.55,2.15
Hirara,75,JP,1563577745,94,24.8,125.28,82.4,12.75
San Juan Bautista,57,PY,1563577747,93,-26.67,-57.15,63.7,7.43
Roald,9,NO,1563577748,93,62.58,6.12,55.99,4.7
Koping,52,SE,1563577541,63,59.51,15.99,60.8,3.36
Tautira,20,PF,1563577751,57,-17.73,-149.15,80.6,8.05
Ballina,98,IE,1563577752,95,54.11,-9.15,59.0,5.99
Acapulco,75,MX,1563577753,74,16.86,-99.88,86.0,4.7
Itoman,75,JP,1563577755,83,26.12,127.67,84.2,20.8
Baruun-Urt,60,MN,1563577757,72,46.68,113.28,66.22,13.18
Kamenka,0,MD,1563577759,89,48.03,28.7,55.99,3.22
Tuatapere,100,NZ,1563577761,97,-46.13,167.69,48.0,5.99
San Ignacio,0,PE,1563577762,89,-5.15,-79.0,61.0,2.53
Sambava,0,MG,1563577764,88,-14.27,50.17,63.52,3.49
Cherskiy,100,RU,1563577765,70,68.75,161.3,42.27,9.42
Estelle,0,FR,1563577766,77,43.97,3.47,70.0,3.36
Hambantota,100,LK,1563577767,72,6.12,81.12,82.42,28.07
Berlevag,20,NO,1563577768,87,70.86,29.09,51.8,6.93
Ayni,0,TJ,1563577769,35,39.39,68.54,55.95,3.0
Kendari,1,ID,1563577772,87,-3.99,122.52,76.84,1.32
Zabid,49,YE,1563577773,65,14.2,44.5,71.8,2.91
Zomba,17,MW,1563577774,66,-15.39,35.33,61.9,2.73
Pisco,90,PE,1563577775,30,-13.71,-76.2,71.6,8.05
Lucea,20,JM,1563577776,74,18.44,-78.17,86.0,13.87
Amahai,4,ID,1563577777,91,-3.31,129.0,82.0,1.99
Conde,6,BR,1563577644,97,-11.81,-37.61,67.12,5.12
Nichinan,75,JP,1563577780,94,31.65,131.31,78.8,19.46
Monkey Bay,6,MW,1563577781,58,-14.08,34.91,65.85,3.18
Umtata,54,ZA,1563577782,70,-31.59,28.78,48.2,5.82
Waitati,100,NZ,1563577783,96,-45.75,170.57,48.99,18.01
Oksfjord,0,NO,1563577784,63,70.24,22.35,62.6,13.87
Searcy,1,US,1563577786,63,35.25,-91.74,91.99,9.17
Limon,1,US,1563577577,9,39.26,-103.69,99.0,6.33
Duluth,75,US,1563577788,83,46.77,-92.13,75.2,6.38
Atagay,100,RU,1563577790,99,55.1,99.39,52.72,2.71
Mgandu,10,TZ,1563577672,88,-5.96,34.11,55.05,6.76
Vire,0,FR,1563577792,82,48.84,-0.89,66.99,6.93
Kumba,100,CM,1563577794,98,4.64,9.44,70.9,1.5
Mweka,0,CD,1563577795,34,-4.85,21.56,66.04,0.89
Svetlogorsk,75,RU,1563577796,68,53.14,59.15,69.8,11.18
Stawell,18,AU,1563577797,79,-37.06,142.77,47.85,10.0
Yar-Sale,83,RU,1563577798,80,66.83,70.83,67.65,5.41
Birao,67,CF,1563577799,90,10.3,22.78,71.97,2.95
Omsukchan,100,RU,1563577800,96,62.53,155.8,47.85,4.65
Guanica,1,PR,1563577714,78,17.97,-66.91,82.99,3.36
Grindavik,20,IS,1563577803,93,63.84,-22.43,57.0,9.17
Nanortalik,99,GL,1563577804,96,60.14,-45.24,43.0,2.24
Bloemhof,0,ZA,1563577805,83,-27.65,25.61,41.74,6.55
Upata,40,VE,1563577806,91,8.02,-62.41,75.99,1.99
Constitucion,90,MX,1563577807,46,23.99,-104.67,71.6,11.41
Ouegoa,2,NC,1563577810,73,-20.34,164.44,69.1,11.81
Lara,0,PE,1563577812,15,-16.45,-71.53,66.2,10.29
Luderitz,0,NA,1563577813,78,-26.65,15.16,57.4,28.25
Verkhnevilyuysk,0,RU,1563577814,54,63.45,120.31,58.12,6.33
Portales,75,US,1563577815,50,34.19,-103.33,100.99,16.11
Boca do Acre,14,BR,1563577817,59,-8.76,-67.39,78.1,1.28
Pinan,49,SE,1563577818,88,58.68,11.65,64.0,3.36
Tiznit,87,MA,1563577557,93,29.7,-9.73,67.47,11.05
Newport,1,US,1563577807,83,41.49,-71.31,87.01,8.05
Inhambane,0,MZ,1563577822,46,-23.87,35.38,68.55,12.66
Suhbaatar,88,MN,1563577823,68,50.23,106.21,68.2,3.44
Laizhou,2,CN,1563577824,74,37.18,119.93,79.17,3.76
Xifeng,75,CN,1563577826,61,42.73,124.72,81.15,5.57
Matay,0,EG,1563577827,58,28.42,30.79,77.55,16.53
Yulara,12,AU,1563577828,40,-25.24,130.99,33.8,2.24
Kenai,1,US,1563577829,63,60.55,-151.26,75.99,17.22
Lookan,39,PH,1563577831,83,5.04,120.1,81.7,9.93
Marawi,80,PH,1563577766,86,8.0,124.29,77.0,5.01
Skjervoy,1,NO,1563577834,70,70.03,20.97,55.42,3.06
Nome,20,US,1563577835,62,30.04,-94.42,93.0,11.41
Vila Velha,75,BR,1563577837,74,-3.71,-38.6,86.0,13.87
Palotina,100,BR,1563577820,80,-24.28,-53.84,62.97,10.51
Pipri,36,IN,1563577839,71,24.21,83.02,83.67,4.29
Beni Suef,0,EG,1563577840,60,29.07,31.1,76.84,10.67
Victoria Point,0,AU,1563577841,62,-27.58,153.3,61.0,13.87
Sinnamary,59,GF,1563577843,82,5.38,-52.96,80.97,11.36
Del Rio,1,US,1563577844,27,29.36,-100.9,102.2,16.11
Marsh Harbour,22,BS,1563577845,67,26.54,-77.06,84.75,5.32
Omboue,100,GA,1563577846,88,-1.57,9.26,74.5,9.71
Leningradskiy,100,RU,1563577847,91,69.38,178.42,35.8,8.39
Kurilsk,7,RU,1563577848,91,45.23,147.88,56.67,8.16
Aripuana,10,BR,1563577850,46,-9.17,-60.63,78.64,1.68
Alikovo,0,RU,1563577851,82,55.74,46.75,59.0,6.71
Pangnirtung,75,CA,1563577727,93,66.15,-65.72,55.4,4.7
Bonthe,100,SL,1563577854,90,7.53,-12.5,76.12,10.92
Wahiawa,90,US,1563577855,65,21.5,-158.02,89.01,10.29
Mayya,0,RU,1563577856,53,61.74,130.28,51.8,4.47
Turukhansk,0,RU,1563577858,52,65.8,87.96,62.62,11.95
Peniche,90,PT,1563577859,100,39.36,-9.38,64.0,9.17
Ganzhou,2,CN,1563577861,82,25.86,114.93,82.05,2.15
Kahului,40,US,1563577862,49,20.89,-156.47,91.4,18.34
Athni,100,IN,1563577864,89,16.73,75.07,73.42,10.04
Ipoti,99,NG,1563577865,98,7.87,5.08,67.65,3.22
Okha,100,RU,1563577866,93,53.59,142.95,59.37,2.75
Mercedes,95,UY,1563577867,78,-33.25,-58.03,61.0,1.01
Umm Lajj,0,SA,1563577868,78,25.02,37.27,85.84,12.44
Buzdyak,72,RU,1563577870,93,54.57,54.53,60.45,5.44
Nantucket,90,US,1563577765,94,41.28,-70.1,77.0,17.22
Cairns,0,AU,1563577868,67,-16.92,145.77,60.8,16.11
Tekeli,26,KZ,1563577877,35,44.86,78.76,71.25,4.05
Columbus,75,US,1563577878,100,32.46,-84.99,77.0,6.93
